2021.4.19 10:12:41:124   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:136   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:147   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:158   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:169   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, -0.01)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:179   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, -0.01)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:191   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.03, -0.01, -0.01)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:202   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.04, -0.01, -0.01)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:213   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:225   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
