2021.4.19 15:53:00:346   leftController:(0.10, 1.16, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.09, -0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:371   leftController:(0.10, 1.15, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.10, -0.04, -0.02)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:391   leftController:(0.10, 1.15, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.11, -0.04, -0.02)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:413   leftController:(0.10, 1.15, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.12, -0.05, -0.02)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:436   leftController:(0.11, 1.15, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.13, -0.05, -0.02)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:458   leftController:(0.11, 1.15, 0.41)  rightController:(-0.24, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.14, -0.05, -0.02)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:480   leftController:(0.11, 1.15, 0.41)  rightController:(-0.24, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.16, -0.05, -0.02)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:502   leftController:(0.12, 1.15, 0.41)  rightController:(-0.24, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.17, -0.05, -0.02)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:527   leftController:(0.12, 1.15, 0.41)  rightController:(-0.24, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.56, 0.22)  leftControllerVel:(0.17, -0.06, -0.02)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:547   leftController:(0.12, 1.15, 0.41)  rightController:(-0.24, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.56, 0.22)  leftControllerVel:(0.18, -0.06, -0.01)  rightControllerVel:(0.00, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:570   leftController:(0.13, 1.14, 0.41)  rightController:(-0.23, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.56, 0.22)  leftControllerVel:(0.19, -0.07, -0.01)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:592   leftController:(0.13, 1.14, 0.41)  rightController:(-0.23, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.56, 0.22)  leftControllerVel:(0.19, -0.08, 0.00)  rightControllerVel:(0.00, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:614   leftController:(0.14, 1.14, 0.41)  rightController:(-0.23, 1.15, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.56, 0.22)  leftControllerVel:(0.18, -0.10, 0.00)  rightControllerVel:(0.01, -0.14, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:636   leftController:(0.14, 1.14, 0.41)  rightController:(-0.23, 1.14, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.17, -0.12, 0.00)  rightControllerVel:(0.02, -0.21, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:659   leftController:(0.14, 1.13, 0.41)  rightController:(-0.23, 1.14, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.16, -0.13, 0.00)  rightControllerVel:(0.03, -0.29, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:681   leftController:(0.15, 1.13, 0.41)  rightController:(-0.23, 1.13, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.16, -0.16, 0.01)  rightControllerVel:(0.01, -0.30, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:704   leftController:(0.15, 1.13, 0.41)  rightController:(-0.23, 1.12, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.14, -0.20, 0.01)  rightControllerVel:(0.01, -0.27, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:726   leftController:(0.15, 1.12, 0.41)  rightController:(-0.23, 1.12, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.12, -0.22, 0.01)  rightControllerVel:(0.01, -0.21, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:749   leftController:(0.16, 1.12, 0.41)  rightController:(-0.23, 1.12, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.10, -0.21, 0.00)  rightControllerVel:(0.00, -0.15, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
