2021.4.19 10:36:13:465   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.14, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:477   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.14, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:488   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.03, 0.13, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:499   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.13, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:510   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.12, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:521   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.03, 0.11, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:533   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.10, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:543   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.09, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:554   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.07, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:565   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.07, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
