2021.4.19 15:31:08:86   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:108   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:131   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:155   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:184   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:199   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:221   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:244   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:268   leftController:(0.24, 0.92, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:288   leftController:(0.24, 0.92, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:310   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:333   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:355   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:376   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:387   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:399   leftController:(0.24, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:410   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:421   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:433   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:444   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:455   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:466   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:477   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:488   leftController:(0.23, 0.92, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.06, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:499   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.06, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:510   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.06, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:522   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:532   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:544   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.01, -0.05, -0.01)  rightControllerVel:(-0.01, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:558   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(0.00, -0.05, -0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:566   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(0.00, -0.06, -0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:577   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.09)  leftControllerVel:(0.02, -0.07, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:589   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.09)  leftControllerVel:(0.03, -0.07, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:600   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.03, -0.07, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
