2021.4.12 11:36:39:190   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:212   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:234   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.03, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:261   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.03, -0.03, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:280   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.05, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:302   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.05, -0.07, -0.02)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:324   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.06, -0.09, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:346   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.06, -0.10, -0.03)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:369   leftController:(0.27, 1.00, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.05, -0.11, -0.03)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:391   leftController:(0.26, 1.00, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.05, -0.13, -0.03)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:413   leftController:(0.26, 1.00, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.06, -0.14, -0.04)  rightControllerVel:(0.00, 0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:435   leftController:(0.26, 1.00, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.07, -0.13, -0.05)  rightControllerVel:(0.00, 0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:458   leftController:(0.26, 0.99, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.07, -0.11, -0.05)  rightControllerVel:(-0.01, 0.02, -0.02)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:480   leftController:(0.26, 0.99, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.07, -0.09, -0.05)  rightControllerVel:(-0.01, 0.01, -0.02)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:502   leftController:(0.26, 0.99, -0.06)  rightController:(0.01, 1.02, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.06, -0.08, -0.05)  rightControllerVel:(-0.01, 0.01, -0.02)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:525   leftController:(0.26, 0.99, -0.06)  rightController:(0.01, 1.02, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.06, -0.08, -0.04)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:548   leftController:(0.25, 0.99, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.05, -0.07, -0.03)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:570   leftController:(0.25, 0.99, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.05, -0.03)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:592   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.04, -0.02)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:603   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.04, -0.02)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:614   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.04, -0.02)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:625   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.03, -0.01)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:640   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(-0.03, -0.02, -0.01)  rightControllerVel:(0.01, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:648   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, -0.02, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:658   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:671   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:681   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
