2021.4.12 15:01:55:67   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:90   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:112   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:137   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:158   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:179   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:201   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:224   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:246   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:269   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:292   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:314   leftController:(0.49, 1.26, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.22, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:336   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:358   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:380   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:402   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:425   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:447   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:470   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
