2021.4.12 11:13:09:942   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.02, -0.01)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:954   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.02, -0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:965   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.02, -0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:978   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.02, -0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:987   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.02, -0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:999   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.04, 0.02, -0.01)  rightControllerVel:(0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:10   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.04, 0.02, -0.01)  rightControllerVel:(0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:21   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.01, -0.01)  rightControllerVel:(0.02, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:31   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.01, -0.01)  rightControllerVel:(0.03, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:43   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.01, -0.01)  rightControllerVel:(0.03, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:54   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.00, -0.01)  rightControllerVel:(0.03, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:65   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, -0.01, -0.01)  rightControllerVel:(0.03, -0.03, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.12 11:13:10:77   leftController:(0.32, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.04, -0.01, -0.01)  rightControllerVel:(0.03, -0.04, 0.06)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:92   leftController:(0.33, 1.13, 0.13)  rightController:(-0.05, 1.40, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.05, -0.02, 0.00)  rightControllerVel:(0.03, -0.05, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:99   leftController:(0.33, 1.13, 0.13)  rightController:(-0.05, 1.39, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.05, -0.02, 0.00)  rightControllerVel:(0.03, -0.05, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:110   leftController:(0.33, 1.13, 0.13)  rightController:(-0.05, 1.39, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.02, 0.00)  rightControllerVel:(0.03, -0.06, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:121   leftController:(0.33, 1.13, 0.13)  rightController:(-0.05, 1.39, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:134   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.39, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.03, 0.00)  rightControllerVel:(0.02, -0.08, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:143   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.39, 0.03)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.03, 0.00)  rightControllerVel:(0.02, -0.10, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:155   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.39, 0.04)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.03, 0.00)  rightControllerVel:(0.01, -0.11, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:166   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.39, 0.04)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.04, 0.00)  rightControllerVel:(0.01, -0.13, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:177   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.39, 0.04)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.05, 0.01)  rightControllerVel:(0.00, -0.16, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.12 11:13:10:189   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.38, 0.04)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.06, 0.01)  rightControllerVel:(-0.01, -0.18, 0.21)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.12 11:13:10:199   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.38, 0.04)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.06, 0.01)  rightControllerVel:(-0.02, -0.21, 0.25)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:210   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.38, 0.05)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.05, -0.07, 0.02)  rightControllerVel:(-0.02, -0.24, 0.29)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:222   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.38, 0.05)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.08, 0.02)  rightControllerVel:(-0.02, -0.27, 0.32)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
