2021.4.7 14:33:30:770   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.05, 0.13, -0.05)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:789   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.04, 0.10, -0.04)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:812   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, 0.07, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:824   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.06, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:832   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.04, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:842   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.03, 0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:850   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.01, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:858   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, 0.00, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:867   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.01, 0.04)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:877   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.03, 0.04)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:890   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.05, 0.05)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:900   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.06, 0.06)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:912   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.07, 0.06)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:920   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.07, 0.06)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:929   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.08, 0.06)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:938   leftController:(0.22, 1.18, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.08, 0.06)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
