2021.4.7 15:02:05:92   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:112   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:121   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:130   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:139   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:148   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:162   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:172   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:181   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:192   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
