2021.4.7 14:36:16:813   leftController:(0.20, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.04, 0.10, -0.05)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:820   leftController:(0.20, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.05, 0.09, -0.05)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:831   leftController:(0.20, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.07, 0.09, -0.05)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:853   leftController:(0.20, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.12, 0.08, -0.05)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:864   leftController:(0.20, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.12, 0.08, -0.04)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:872   leftController:(0.20, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.12, 0.08, -0.04)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:881   leftController:(0.20, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.12, 0.07, -0.04)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:893   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.11, 0.07, -0.04)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:904   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.11, 0.07, -0.04)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:913   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.10, 0.07, -0.03)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:920   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.10, 0.06, -0.03)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:933   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.09, 0.06, -0.03)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
