2021.4.7 14:38:50:394   leftController:(0.19, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.04, 0.08, -0.07)  rightControllerVel:(0.01, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:416   leftController:(0.19, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.04, 0.07, -0.07)  rightControllerVel:(0.01, -0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:438   leftController:(0.18, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.04, 0.04, -0.05)  rightControllerVel:(0.02, 0.00, 0.06)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:464   leftController:(0.18, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, 0.07)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:484   leftController:(0.18, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.02, 0.00, 0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:510   leftController:(0.18, 1.16, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.05, -0.13, 0.08)  rightControllerVel:(0.03, 0.00, 0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:532   leftController:(0.19, 1.15, 0.37)  rightController:(-0.17, 0.68, 0.07)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.10, -0.23, 0.14)  rightControllerVel:(0.03, 0.00, 0.10)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:551   leftController:(0.19, 1.15, 0.38)  rightController:(-0.17, 0.68, 0.08)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.12, -0.32, 0.19)  rightControllerVel:(0.03, 0.00, 0.10)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:38:50:572   leftController:(0.19, 1.14, 0.38)  rightController:(-0.17, 0.68, 0.08)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.14, -0.41, 0.21)  rightControllerVel:(0.03, 0.00, 0.11)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:38:50:595   leftController:(0.20, 1.13, 0.39)  rightController:(-0.17, 0.68, 0.08)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.16, -0.51, 0.21)  rightControllerVel:(0.03, 0.00, 0.11)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:617   leftController:(0.20, 1.11, 0.39)  rightController:(-0.17, 0.68, 0.08)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.17, -0.58, 0.18)  rightControllerVel:(0.03, 0.00, 0.12)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:641   leftController:(0.20, 1.10, 0.39)  rightController:(-0.17, 0.68, 0.09)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.15, -0.63, 0.15)  rightControllerVel:(0.03, 0.01, 0.14)  leftTrackerVel:(0.01, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
