2021.4.7 14:59:23:683   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:705   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:731   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:754   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:772   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:795   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:823   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:841   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:861   leftController:(0.01, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:884   leftController:(0.01, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.00, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
