2021.4.7 15:04:32:770   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.06, -0.03)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:786   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.07, -0.03)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:795   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.08, -0.03)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:804   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.08, -0.03)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:815   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.09, -0.03)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:827   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.10, -0.03)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:836   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.12, -0.03)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:846   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.13, -0.04)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:854   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.15, -0.04)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:864   leftController:(0.26, 1.12, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.17, -0.04)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:876   leftController:(0.26, 1.11, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.21, -0.04)  rightControllerVel:(0.01, -0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:889   leftController:(0.26, 1.11, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.23, -0.05)  rightControllerVel:(0.02, -0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:897   leftController:(0.26, 1.11, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.26, -0.05)  rightControllerVel:(0.02, -0.07, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:907   leftController:(0.26, 1.11, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.29, -0.05)  rightControllerVel:(0.03, -0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:921   leftController:(0.26, 1.10, 0.52)  rightController:(-0.06, 1.05, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.35, -0.05)  rightControllerVel:(0.03, -0.10, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:938   leftController:(0.26, 1.09, 0.52)  rightController:(-0.06, 1.05, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.42, -0.05)  rightControllerVel:(0.03, -0.12, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:947   leftController:(0.26, 1.09, 0.52)  rightController:(-0.06, 1.05, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.46, -0.06)  rightControllerVel:(0.02, -0.15, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:957   leftController:(0.26, 1.08, 0.52)  rightController:(-0.06, 1.05, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.50, -0.06)  rightControllerVel:(0.01, -0.18, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:968   leftController:(0.26, 1.08, 0.52)  rightController:(-0.06, 1.04, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.02, -0.56, -0.06)  rightControllerVel:(0.01, -0.19, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
