2021.4.20 16:34:57:34   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:46   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:55   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:66   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.20 16:34:57:82   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.20 16:34:57:91   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:99   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:111   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:123   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:134   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:145   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:155   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:166   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:179   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.02, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:191   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:200   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.06, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:212   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.03)  rightControllerVel:(-0.06, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:223   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:237   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:245   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:256   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.06, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:267   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:278   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:289   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:300   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.07, 1.54, 0.16)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.05, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:313   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.05, -0.01, 0.02)  rightControllerVel:(-0.04, 0.00, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:324   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.04, -0.02, 0.02)  rightControllerVel:(-0.04, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:334   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.04, -0.02, 0.02)  rightControllerVel:(-0.04, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:345   leftController:(-0.18, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.04, -0.02, 0.02)  rightControllerVel:(-0.04, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:357   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.04, -0.01, 0.02)  rightControllerVel:(-0.04, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:368   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.16)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.03, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:379   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.17)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.03, 0.01, 0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:391   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.17)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.03, 0.01, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:402   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.17)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.20 16:34:57:413   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.08, 1.54, 0.17)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:425   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.03, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:435   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:446   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:457   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:468   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.37)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:479   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.05)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.20 16:34:57:491   leftController:(-0.19, 1.07, 0.37)  rightController:(-0.04, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.05)  headset:(-0.09, 1.54, 0.17)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
