2021.4.28 16:13:18:612   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:623   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:635   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:647   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:657   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:669   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:681   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.03, 0.00, -0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:692   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.03, 0.01, -0.02)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:701   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.03, 0.01, -0.02)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:713   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:725   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:736   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:747   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:757   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:768   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:780   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:791   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:802   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:813   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:827   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:837   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:847   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:858   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:869   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:881   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
