2021.4.28 17:12:21:577   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, -0.01, 0.02)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:588   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:599   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:610   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:624   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:634   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:644   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:655   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:667   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:677   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:688   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:699   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:711   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:722   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:733   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:744   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:756   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:768   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:777   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:789   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:800   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:811   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:823   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.03, 0.00, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:834   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.03, 0.00, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:845   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.03, 0.00, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:859   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.03, -0.01, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:867   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(0.04, -0.01, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:878   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.01, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
