2021.4.27 11:08:47:570   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:581   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:592   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:603   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:615   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:626   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:638   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:648   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:660   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:673   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:681   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:693   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:704   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:715   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:727   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
