2021.4.6 18:06:22:32   leftController:(-0.28, 0.71, 0.10)  rightController:(0.13, 1.57, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.02, 0.06, 0.32)  rightControllerVel:(-0.02, -0.13, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:60   leftController:(-0.28, 0.71, 0.11)  rightController:(0.13, 1.56, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(-0.01, 0.06, 0.34)  rightControllerVel:(-0.01, -0.20, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:76   leftController:(-0.28, 0.71, 0.12)  rightController:(0.13, 1.56, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(-0.01, 0.07, 0.35)  rightControllerVel:(-0.01, -0.25, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:99   leftController:(-0.28, 0.71, 0.12)  rightController:(0.13, 1.55, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.00, 0.07, 0.35)  rightControllerVel:(-0.01, -0.34, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:121   leftController:(-0.28, 0.72, 0.13)  rightController:(0.13, 1.54, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.01, 0.07, 0.35)  rightControllerVel:(0.00, -0.43, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:147   leftController:(-0.28, 0.72, 0.14)  rightController:(0.13, 1.53, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.03, 0.07, 0.34)  rightControllerVel:(0.00, -0.53, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:170   leftController:(-0.28, 0.72, 0.15)  rightController:(0.13, 1.51, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.04, 0.09, 0.33)  rightControllerVel:(-0.02, -0.59, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:188   leftController:(-0.28, 0.72, 0.15)  rightController:(0.13, 1.50, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.04, 0.10, 0.32)  rightControllerVel:(-0.03, -0.63, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:211   leftController:(-0.28, 0.72, 0.16)  rightController:(0.13, 1.49, 0.71)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.05, 0.10, 0.30)  rightControllerVel:(-0.01, -0.66, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:236   leftController:(-0.27, 0.73, 0.17)  rightController:(0.13, 1.47, 0.71)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.07, 0.09, 0.27)  rightControllerVel:(0.01, -0.65, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:256   leftController:(-0.27, 0.73, 0.17)  rightController:(0.13, 1.46, 0.71)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.07, 0.09, 0.24)  rightControllerVel:(0.00, -0.61, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:277   leftController:(-0.27, 0.73, 0.18)  rightController:(0.13, 1.45, 0.71)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.08)  leftControllerVel:(0.08, 0.08, 0.21)  rightControllerVel:(0.00, -0.54, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:300   leftController:(-0.27, 0.73, 0.18)  rightController:(0.13, 1.44, 0.71)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.08, 0.07, 0.19)  rightControllerVel:(-0.01, -0.49, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:332   leftController:(-0.27, 0.73, 0.19)  rightController:(0.13, 1.42, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.09, 0.06, 0.15)  rightControllerVel:(-0.02, -0.41, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:346   leftController:(-0.26, 0.73, 0.19)  rightController:(0.13, 1.42, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.09, 0.05, 0.12)  rightControllerVel:(-0.02, -0.38, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:367   leftController:(-0.26, 0.73, 0.19)  rightController:(0.13, 1.41, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.09, 0.04, 0.10)  rightControllerVel:(-0.03, -0.33, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:390   leftController:(-0.26, 0.73, 0.19)  rightController:(0.13, 1.40, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.09, 0.03, 0.06)  rightControllerVel:(-0.03, -0.27, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:412   leftController:(-0.26, 0.73, 0.19)  rightController:(0.13, 1.40, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.09, 0.02, 0.02)  rightControllerVel:(-0.05, -0.20, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:438   leftController:(-0.26, 0.74, 0.19)  rightController:(0.12, 1.40, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.09, 0.01, -0.01)  rightControllerVel:(-0.08, -0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:456   leftController:(-0.26, 0.74, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.08, -0.01, -0.04)  rightControllerVel:(-0.09, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:472   leftController:(-0.25, 0.73, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.08, -0.02, -0.07)  rightControllerVel:(-0.10, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
