2021.4.6 18:03:33:597   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.41, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.08, 0.00, 0.01)  rightControllerVel:(0.01, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:614   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.41, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.07, 0.00, 0.02)  rightControllerVel:(0.01, -0.10, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:636   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.41, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.05, 0.01, 0.02)  rightControllerVel:(0.02, -0.13, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:658   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.40, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.04, 0.00, 0.01)  rightControllerVel:(0.02, -0.17, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:681   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.40, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.00, 0.02)  rightControllerVel:(0.01, -0.21, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:703   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.39, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.02, 0.00, 0.02)  rightControllerVel:(0.02, -0.28, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:726   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.38, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.04, 0.00, 0.02)  rightControllerVel:(0.02, -0.34, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:752   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.37, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.05, 0.00, 0.02)  rightControllerVel:(0.02, -0.45, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:770   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.36, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.06, 0.01, 0.03)  rightControllerVel:(0.00, -0.51, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:792   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.35, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.07, 0.01, 0.03)  rightControllerVel:(-0.02, -0.59, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
