2021.4.16 16:35:15:30   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:42   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:53   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:64   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:79   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:89   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:98   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:109   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:120   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:131   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
