2021.4.16 16:57:35:908   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:920   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:931   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:942   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:953   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:964   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:976   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:986   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:997   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:08   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
