2021.4.16 15:11:24:621   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:632   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:643   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.16 15:11:24:654   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:665   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:676   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:687   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:700   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:715   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:728   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:733   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:743   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:754   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:766   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:777   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
