2021.4.5 20:25:30:334   leftController:(-0.13, 1.29, 0.34)  rightController:(0.07, 1.19, 0.34)  leftTracker:(-0.05, 0.23, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:490   leftController:(-0.13, 1.29, 0.34)  rightController:(0.07, 1.19, 0.34)  leftTracker:(-0.05, 0.23, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:511   leftController:(-0.13, 1.29, 0.34)  rightController:(0.07, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:528   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:545   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:559   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:569   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:579   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:588   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:596   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.24, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:612   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:629   leftController:(-0.13, 1.29, 0.34)  rightController:(0.08, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:652   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.18, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:675   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:700   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:721   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:747   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
2021.4.5 20:25:30:763   leftController:(-0.13, 1.29, 0.34)  rightController:(0.09, 1.19, 0.34)  leftTracker:(-0.05, 0.24, 0.06)  rightTracker:(0.20, 0.25, 0.09)  headset:(-0.02, 1.64, 0.16)
