2021.4.5 14:37:06:66   leftController:(0.25, 1.01, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:86   leftController:(0.25, 1.00, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:114   leftController:(0.25, 0.99, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:132   leftController:(0.25, 0.98, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:155   leftController:(0.25, 0.98, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:176   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:198   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:221   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:234   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:251   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:271   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:281   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:291   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.46)
2021.4.5 14:37:06:302   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.46)
2021.4.5 14:37:06:313   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.46)
2021.4.5 14:37:06:324   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.46)
2021.4.5 14:37:06:340   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.46)
2021.4.5 14:37:06:352   leftController:(0.25, 0.95, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:362   leftController:(0.25, 0.95, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:372   leftController:(0.25, 0.95, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:381   leftController:(0.25, 0.95, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:391   leftController:(0.25, 0.95, 0.72)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:402   leftController:(0.25, 0.95, 0.72)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.47)
2021.4.5 14:37:06:419   leftController:(0.25, 0.95, 0.72)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.48)
2021.4.5 14:37:06:441   leftController:(0.25, 0.95, 0.72)  rightController:(-0.14, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.48)
2021.4.5 14:37:06:455   leftController:(0.25, 0.95, 0.72)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.48)
2021.4.5 14:37:06:465   leftController:(0.25, 0.95, 0.72)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.48)
2021.4.5 14:37:06:476   leftController:(0.25, 0.96, 0.72)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.49)
2021.4.5 14:37:06:486   leftController:(0.25, 0.96, 0.72)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.49)
2021.4.5 14:37:06:497   leftController:(0.25, 0.96, 0.73)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.49)
2021.4.5 14:37:06:507   leftController:(0.25, 0.96, 0.73)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.49)
2021.4.5 14:37:06:521   leftController:(0.25, 0.96, 0.73)  rightController:(-0.13, 0.84, 0.63)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.49)
2021.4.5 14:37:06:540   leftController:(0.25, 0.96, 0.73)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.50)
2021.4.5 14:37:06:551   leftController:(0.25, 0.97, 0.73)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.50)
2021.4.5 14:37:06:563   leftController:(0.25, 0.97, 0.73)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.09, 1.51, 0.50)
2021.4.5 14:37:06:579   leftController:(0.25, 0.98, 0.74)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.08, 1.51, 0.50)
2021.4.5 14:37:06:589   leftController:(0.25, 0.98, 0.74)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.08, 1.51, 0.50)
2021.4.5 14:37:06:614   leftController:(0.26, 0.99, 0.74)  rightController:(-0.13, 0.84, 0.64)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.16, 0.37)  headset:(0.08, 1.51, 0.50)
2021.4.5 14:37:06:634   leftController:(0.26, 1.00, 0.74)  rightController:(-0.13, 0.84, 0.65)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.08, 1.51, 0.51)
2021.4.5 14:37:06:656   leftController:(0.26, 1.02, 0.74)  rightController:(-0.13, 0.84, 0.65)  leftTracker:(-0.16, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.08, 1.51, 0.51)
