2021.4.5 14:54:27:455   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:482   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:499   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:522   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:546   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:566   leftController:(0.24, 1.13, 0.27)  rightController:(-0.02, 1.20, 0.33)  leftTracker:(-0.01, 0.18, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:591   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.20, 0.33)  leftTracker:(-0.01, 0.18, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:600   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:616   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:634   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.04)
2021.4.5 14:54:27:643   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.20, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:653   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:663   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:673   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:682   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:694   leftController:(0.24, 1.13, 0.28)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
