2021.4.5 20:17:35:926   leftController:(-0.02, 0.76, -0.03)  rightController:(0.28, 0.69, -0.05)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:947   leftController:(-0.02, 0.76, -0.03)  rightController:(0.29, 0.68, -0.07)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:970   leftController:(-0.02, 0.76, -0.03)  rightController:(0.31, 0.68, -0.09)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.12)
2021.4.5 20:17:35:994   leftController:(-0.02, 0.75, -0.04)  rightController:(0.32, 0.67, -0.11)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.66, -0.12)
2021.4.5 20:17:36:14   leftController:(-0.02, 0.75, -0.04)  rightController:(0.33, 0.67, -0.12)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.66, -0.12)
2021.4.5 20:17:36:37   leftController:(-0.02, 0.75, -0.04)  rightController:(0.34, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:59   leftController:(-0.02, 0.75, -0.04)  rightController:(0.34, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:83   leftController:(-0.02, 0.75, -0.04)  rightController:(0.35, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:94   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:104   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:116   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:129   leftController:(-0.03, 0.76, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:138   leftController:(-0.03, 0.76, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:149   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:159   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:171   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:185   leftController:(-0.05, 0.77, -0.02)  rightController:(0.35, 0.70, -0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:194   leftController:(-0.05, 0.77, -0.02)  rightController:(0.35, 0.70, -0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:203   leftController:(-0.05, 0.78, -0.01)  rightController:(0.35, 0.71, -0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:216   leftController:(-0.06, 0.78, -0.01)  rightController:(0.35, 0.71, -0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:230   leftController:(-0.06, 0.79, 0.00)  rightController:(0.35, 0.72, -0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:240   leftController:(-0.07, 0.79, 0.00)  rightController:(0.35, 0.72, -0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:249   leftController:(-0.07, 0.79, 0.01)  rightController:(0.35, 0.73, -0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:263   leftController:(-0.08, 0.80, 0.01)  rightController:(0.35, 0.74, -0.06)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:274   leftController:(-0.08, 0.81, 0.02)  rightController:(0.35, 0.74, -0.05)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:282   leftController:(-0.08, 0.81, 0.02)  rightController:(0.35, 0.75, -0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:293   leftController:(-0.09, 0.81, 0.03)  rightController:(0.35, 0.75, -0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:307   leftController:(-0.09, 0.82, 0.04)  rightController:(0.35, 0.76, -0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:324   leftController:(-0.09, 0.83, 0.05)  rightController:(0.35, 0.78, -0.02)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:334   leftController:(-0.10, 0.83, 0.05)  rightController:(0.34, 0.78, -0.01)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:346   leftController:(-0.10, 0.84, 0.06)  rightController:(0.34, 0.79, 0.00)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:364   leftController:(-0.10, 0.85, 0.07)  rightController:(0.34, 0.81, 0.01)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:377   leftController:(-0.10, 0.86, 0.07)  rightController:(0.33, 0.82, 0.02)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:387   leftController:(-0.11, 0.86, 0.08)  rightController:(0.33, 0.83, 0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:396   leftController:(-0.11, 0.87, 0.08)  rightController:(0.33, 0.83, 0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:407   leftController:(-0.11, 0.88, 0.09)  rightController:(0.33, 0.84, 0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:420   leftController:(-0.11, 0.89, 0.09)  rightController:(0.33, 0.85, 0.05)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:429   leftController:(-0.11, 0.89, 0.09)  rightController:(0.32, 0.86, 0.05)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:439   leftController:(-0.11, 0.90, 0.10)  rightController:(0.32, 0.87, 0.06)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:454   leftController:(-0.11, 0.91, 0.10)  rightController:(0.32, 0.88, 0.06)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:464   leftController:(-0.11, 0.91, 0.11)  rightController:(0.32, 0.89, 0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:473   leftController:(-0.11, 0.92, 0.11)  rightController:(0.31, 0.90, 0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:483   leftController:(-0.11, 0.93, 0.11)  rightController:(0.31, 0.91, 0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:492   leftController:(-0.11, 0.93, 0.12)  rightController:(0.31, 0.91, 0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:504   leftController:(-0.11, 0.94, 0.12)  rightController:(0.31, 0.92, 0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:517   leftController:(-0.11, 0.94, 0.12)  rightController:(0.31, 0.93, 0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:527   leftController:(-0.10, 0.95, 0.13)  rightController:(0.31, 0.94, 0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:536   leftController:(-0.10, 0.95, 0.13)  rightController:(0.31, 0.95, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:548   leftController:(-0.10, 0.96, 0.13)  rightController:(0.31, 0.95, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:559   leftController:(-0.10, 0.96, 0.13)  rightController:(0.31, 0.96, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:569   leftController:(-0.10, 0.97, 0.13)  rightController:(0.31, 0.97, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:578   leftController:(-0.10, 0.97, 0.14)  rightController:(0.31, 0.97, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:589   leftController:(-0.10, 0.98, 0.14)  rightController:(0.31, 0.98, 0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:605   leftController:(-0.09, 0.98, 0.14)  rightController:(0.31, 0.98, 0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:614   leftController:(-0.09, 0.99, 0.14)  rightController:(0.30, 0.99, 0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.11)
2021.4.5 20:17:36:626   leftController:(-0.09, 0.99, 0.14)  rightController:(0.30, 1.00, 0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:639   leftController:(-0.09, 1.00, 0.14)  rightController:(0.30, 1.00, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:648   leftController:(-0.09, 1.00, 0.14)  rightController:(0.30, 1.01, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:657   leftController:(-0.08, 1.01, 0.14)  rightController:(0.30, 1.01, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:667   leftController:(-0.08, 1.01, 0.14)  rightController:(0.30, 1.01, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:676   leftController:(-0.08, 1.02, 0.15)  rightController:(0.30, 1.02, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:685   leftController:(-0.08, 1.02, 0.15)  rightController:(0.30, 1.02, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:699   leftController:(-0.08, 1.03, 0.15)  rightController:(0.30, 1.02, 0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:708   leftController:(-0.08, 1.03, 0.15)  rightController:(0.30, 1.03, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:718   leftController:(-0.08, 1.03, 0.15)  rightController:(0.30, 1.03, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:733   leftController:(-0.07, 1.04, 0.15)  rightController:(0.30, 1.03, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:743   leftController:(-0.07, 1.04, 0.14)  rightController:(0.30, 1.04, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:753   leftController:(-0.07, 1.04, 0.14)  rightController:(0.30, 1.04, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:763   leftController:(-0.07, 1.04, 0.14)  rightController:(0.30, 1.04, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:774   leftController:(-0.07, 1.05, 0.14)  rightController:(0.30, 1.04, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:786   leftController:(-0.07, 1.05, 0.14)  rightController:(0.30, 1.04, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:799   leftController:(-0.06, 1.05, 0.14)  rightController:(0.29, 1.05, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:811   leftController:(-0.06, 1.06, 0.14)  rightController:(0.29, 1.05, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:823   leftController:(-0.06, 1.06, 0.14)  rightController:(0.29, 1.05, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:832   leftController:(-0.06, 1.06, 0.14)  rightController:(0.29, 1.05, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:841   leftController:(-0.06, 1.06, 0.14)  rightController:(0.29, 1.05, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
