2021.4.5 14:48:31:557   leftController:(0.10, 1.11, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.09)
2021.4.5 14:48:31:721   leftController:(0.10, 1.11, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:739   leftController:(0.10, 1.11, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:767   leftController:(0.10, 1.11, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:781   leftController:(0.10, 1.10, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:792   leftController:(0.10, 1.10, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:803   leftController:(0.10, 1.10, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.01, 1.54, 0.08)
2021.4.5 14:48:31:815   leftController:(0.10, 1.10, 0.35)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.00, 1.54, 0.08)
2021.4.5 14:48:31:835   leftController:(0.10, 1.10, 0.34)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.00, 1.54, 0.08)
2021.4.5 14:48:31:847   leftController:(0.10, 1.10, 0.34)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.00, 1.54, 0.08)
2021.4.5 14:48:31:856   leftController:(0.10, 1.10, 0.34)  rightController:(-0.14, 1.02, 0.30)  leftTracker:(-0.11, 0.15, 0.03)  rightTracker:(0.16, 0.15, 0.10)  headset:(0.00, 1.54, 0.08)
