2021.4.5 20:01:28:421   leftController:(0.28, 1.14, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:446   leftController:(0.29, 1.13, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:466   leftController:(0.29, 1.13, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:489   leftController:(0.29, 1.13, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:512   leftController:(0.29, 1.12, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:534   leftController:(0.29, 1.12, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:555   leftController:(0.29, 1.12, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:577   leftController:(0.29, 1.12, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:603   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:624   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
