2021.4.5 20:28:10:682   leftController:(-0.14, 0.80, 0.21)  rightController:(0.30, 0.75, 0.14)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.01, 1.63, 0.14)
2021.4.5 20:28:10:704   leftController:(-0.14, 0.80, 0.22)  rightController:(0.31, 0.75, 0.11)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.01, 1.63, 0.14)
2021.4.5 20:28:10:730   leftController:(-0.15, 0.81, 0.23)  rightController:(0.31, 0.76, 0.10)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.01, 1.63, 0.14)
2021.4.5 20:28:10:749   leftController:(-0.15, 0.82, 0.24)  rightController:(0.32, 0.76, 0.10)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.01, 1.63, 0.14)
2021.4.5 20:28:10:773   leftController:(-0.16, 0.83, 0.25)  rightController:(0.32, 0.78, 0.10)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.01, 1.63, 0.14)
2021.4.5 20:28:10:793   leftController:(-0.16, 0.85, 0.26)  rightController:(0.33, 0.79, 0.11)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.02, 1.63, 0.14)
2021.4.5 20:28:10:819   leftController:(-0.16, 0.87, 0.29)  rightController:(0.33, 0.81, 0.13)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.02, 1.63, 0.14)
2021.4.5 20:28:10:838   leftController:(-0.16, 0.90, 0.30)  rightController:(0.33, 0.83, 0.14)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.02, 1.63, 0.14)
2021.4.5 20:28:10:849   leftController:(-0.16, 0.91, 0.31)  rightController:(0.34, 0.85, 0.15)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.63, 0.14)
2021.4.5 20:28:10:861   leftController:(-0.15, 0.93, 0.33)  rightController:(0.34, 0.86, 0.17)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.63, 0.14)
