2021.4.5 20:14:59:917   leftController:(-0.04, 1.16, 0.21)  rightController:(0.21, 1.10, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:14:59:942   leftController:(-0.04, 1.16, 0.21)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:14:59:962   leftController:(-0.04, 1.15, 0.21)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:14:59:984   leftController:(-0.04, 1.15, 0.21)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:09   leftController:(-0.04, 1.15, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:31   leftController:(-0.04, 1.15, 0.21)  rightController:(0.22, 1.13, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:51   leftController:(-0.04, 1.15, 0.21)  rightController:(0.22, 1.13, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:73   leftController:(-0.04, 1.14, 0.21)  rightController:(0.22, 1.13, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:85   leftController:(-0.04, 1.14, 0.21)  rightController:(0.22, 1.14, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:96   leftController:(-0.04, 1.14, 0.21)  rightController:(0.22, 1.14, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:107   leftController:(-0.04, 1.14, 0.21)  rightController:(0.23, 1.14, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:118   leftController:(-0.04, 1.14, 0.21)  rightController:(0.23, 1.14, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:132   leftController:(-0.04, 1.14, 0.21)  rightController:(0.23, 1.13, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.65, -0.01)
2021.4.5 20:15:00:148   leftController:(-0.04, 1.14, 0.21)  rightController:(0.23, 1.13, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:158   leftController:(-0.04, 1.13, 0.21)  rightController:(0.23, 1.13, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
