2021.4.5 14:17:10:358   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.07, 0.22, 0.07)  headset:(0.03, 1.80, 0.26)
2021.4.5 14:17:10:539   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.07, 0.22, 0.07)  headset:(0.03, 1.80, 0.26)
2021.4.5 14:17:10:560   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.03, 1.80, 0.26)
2021.4.5 14:17:10:606   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.03, 1.80, 0.26)
2021.4.5 14:17:10:617   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.07, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:627   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.07, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:636   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:648   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:660   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:671   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
2021.4.5 14:17:10:685   leftController:(0.14, 1.27, 0.53)  rightController:(-0.05, 1.32, 0.46)  leftTracker:(-0.12, 0.21, 0.11)  rightTracker:(0.06, 0.22, 0.07)  headset:(0.04, 1.80, 0.26)
