2021.4.5 14:59:51:59   leftController:(0.22, 1.08, 0.22)  rightController:(-0.02, 1.09, 0.24)  leftTracker:(-0.05, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.09, 1.55, -0.01)
2021.4.5 14:59:51:220   leftController:(0.22, 1.08, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.09, 1.54, -0.01)
2021.4.5 14:59:51:233   leftController:(0.22, 1.08, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.09, 1.54, -0.01)
2021.4.5 14:59:51:258   leftController:(0.22, 1.08, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.09, 1.54, -0.01)
2021.4.5 14:59:51:272   leftController:(0.22, 1.08, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:288   leftController:(0.22, 1.08, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:303   leftController:(0.22, 1.07, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:312   leftController:(0.21, 1.07, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:322   leftController:(0.21, 1.07, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:332   leftController:(0.21, 1.07, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
2021.4.5 14:59:51:341   leftController:(0.21, 1.07, 0.22)  rightController:(-0.03, 1.09, 0.24)  leftTracker:(-0.06, 0.20, -0.08)  rightTracker:(0.16, 0.16, -0.09)  headset:(0.08, 1.54, -0.01)
