2021.4.5 20:04:04:831   leftController:(0.24, 1.15, 0.28)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:04:856   leftController:(0.24, 1.15, 0.28)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:04:881   leftController:(0.25, 1.14, 0.28)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:04:898   leftController:(0.25, 1.14, 0.28)  rightController:(-0.03, 0.99, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:04:921   leftController:(0.25, 1.14, 0.28)  rightController:(-0.03, 0.99, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:04:945   leftController:(0.26, 1.14, 0.28)  rightController:(-0.03, 1.00, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:04:967   leftController:(0.26, 1.13, 0.28)  rightController:(-0.03, 1.00, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:04:988   leftController:(0.26, 1.13, 0.28)  rightController:(-0.03, 1.00, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:10   leftController:(0.27, 1.13, 0.28)  rightController:(-0.03, 1.01, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:21   leftController:(0.27, 1.13, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:35   leftController:(0.27, 1.13, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:46   leftController:(0.27, 1.12, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:56   leftController:(0.27, 1.12, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:70   leftController:(0.27, 1.12, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.03)
2021.4.5 20:04:05:82   leftController:(0.27, 1.11, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:05:91   leftController:(0.28, 1.11, 0.28)  rightController:(-0.03, 1.01, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:05:100   leftController:(0.28, 1.11, 0.28)  rightController:(-0.03, 1.00, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:05:111   leftController:(0.28, 1.10, 0.28)  rightController:(-0.03, 1.00, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:04:05:124   leftController:(0.28, 1.10, 0.27)  rightController:(-0.03, 1.00, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
