2021.4.4 16:56:09:237   leftController:(0.05, 1.17, 0.63)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.59, 0.37)
2021.4.4 16:56:09:393   leftController:(0.06, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.59, 0.36)
2021.4.4 16:56:09:413   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.59, 0.36)
2021.4.4 16:56:09:443   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:456   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:465   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:474   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:485   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:500   leftController:(0.05, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:510   leftController:(0.06, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:519   leftController:(0.06, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:529   leftController:(0.06, 1.16, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:538   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:557   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:580   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:611   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:625   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:647   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:671   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:693   leftController:(0.06, 1.15, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
2021.4.4 16:56:09:715   leftController:(0.06, 1.14, 0.62)  rightController:(-0.13, 1.09, 0.63)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.59, 0.36)
