2021.4.4 22:15:46:115   leftController:(0.03, 1.15, 0.17)  rightController:(0.30, 1.22, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:137   leftController:(0.03, 1.15, 0.17)  rightController:(0.30, 1.22, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:160   leftController:(0.03, 1.14, 0.17)  rightController:(0.30, 1.22, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:184   leftController:(0.02, 1.14, 0.17)  rightController:(0.30, 1.22, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:204   leftController:(0.02, 1.14, 0.17)  rightController:(0.30, 1.22, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:227   leftController:(0.02, 1.14, 0.17)  rightController:(0.30, 1.22, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:249   leftController:(0.02, 1.13, 0.17)  rightController:(0.31, 1.22, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:273   leftController:(0.02, 1.13, 0.17)  rightController:(0.31, 1.21, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:294   leftController:(0.01, 1.13, 0.17)  rightController:(0.31, 1.21, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:316   leftController:(0.01, 1.13, 0.17)  rightController:(0.32, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:327   leftController:(0.01, 1.13, 0.17)  rightController:(0.32, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:338   leftController:(0.01, 1.13, 0.17)  rightController:(0.32, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:349   leftController:(0.01, 1.13, 0.17)  rightController:(0.33, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:362   leftController:(0.01, 1.13, 0.17)  rightController:(0.33, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:380   leftController:(0.01, 1.13, 0.17)  rightController:(0.33, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:389   leftController:(0.01, 1.13, 0.17)  rightController:(0.33, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:398   leftController:(0.01, 1.13, 0.17)  rightController:(0.33, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:406   leftController:(0.01, 1.13, 0.17)  rightController:(0.34, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:416   leftController:(0.01, 1.13, 0.17)  rightController:(0.34, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:428   leftController:(0.01, 1.13, 0.17)  rightController:(0.34, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:439   leftController:(0.01, 1.13, 0.17)  rightController:(0.34, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:46:451   leftController:(0.01, 1.13, 0.17)  rightController:(0.35, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:461   leftController:(0.00, 1.13, 0.17)  rightController:(0.36, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:479   leftController:(0.00, 1.13, 0.17)  rightController:(0.36, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:489   leftController:(0.00, 1.12, 0.17)  rightController:(0.37, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:497   leftController:(0.00, 1.12, 0.17)  rightController:(0.37, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:506   leftController:(0.00, 1.12, 0.17)  rightController:(0.38, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:517   leftController:(0.00, 1.12, 0.17)  rightController:(0.38, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:528   leftController:(0.00, 1.12, 0.18)  rightController:(0.39, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.12)
2021.4.4 22:15:46:540   leftController:(-0.01, 1.12, 0.18)  rightController:(0.39, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:553   leftController:(-0.01, 1.12, 0.18)  rightController:(0.40, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:565   leftController:(-0.01, 1.12, 0.18)  rightController:(0.41, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:573   leftController:(-0.01, 1.12, 0.18)  rightController:(0.41, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:584   leftController:(-0.02, 1.11, 0.18)  rightController:(0.42, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:595   leftController:(-0.02, 1.11, 0.18)  rightController:(0.42, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:606   leftController:(-0.03, 1.11, 0.19)  rightController:(0.43, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:617   leftController:(-0.03, 1.11, 0.19)  rightController:(0.43, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.12)
2021.4.4 22:15:46:629   leftController:(-0.03, 1.11, 0.19)  rightController:(0.44, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.11)
2021.4.4 22:15:46:640   leftController:(-0.04, 1.11, 0.19)  rightController:(0.44, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.11)
2021.4.4 22:15:46:652   leftController:(-0.04, 1.11, 0.19)  rightController:(0.44, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.54, -0.11)
2021.4.4 22:15:46:667   leftController:(-0.04, 1.11, 0.19)  rightController:(0.45, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:676   leftController:(-0.04, 1.11, 0.19)  rightController:(0.45, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:684   leftController:(-0.04, 1.11, 0.19)  rightController:(0.46, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:695   leftController:(-0.05, 1.11, 0.19)  rightController:(0.46, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:707   leftController:(-0.05, 1.10, 0.19)  rightController:(0.47, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:718   leftController:(-0.05, 1.10, 0.19)  rightController:(0.47, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
