2021.4.4 15:23:44:289   leftController:(-0.19, 1.02, 0.35)  rightController:(0.04, 1.05, 0.38)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:315   leftController:(-0.19, 1.02, 0.35)  rightController:(0.04, 1.05, 0.37)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:333   leftController:(-0.20, 1.02, 0.35)  rightController:(0.03, 1.04, 0.37)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:355   leftController:(-0.20, 1.02, 0.35)  rightController:(0.03, 1.03, 0.37)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:378   leftController:(-0.20, 1.03, 0.35)  rightController:(0.03, 1.03, 0.37)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:401   leftController:(-0.20, 1.03, 0.35)  rightController:(0.03, 1.02, 0.36)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:423   leftController:(-0.20, 1.03, 0.35)  rightController:(0.03, 1.01, 0.36)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:445   leftController:(-0.20, 1.03, 0.34)  rightController:(0.03, 1.00, 0.36)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.13)
2021.4.4 15:23:44:467   leftController:(-0.20, 1.02, 0.34)  rightController:(0.03, 0.98, 0.36)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:478   leftController:(-0.20, 1.02, 0.34)  rightController:(0.03, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:491   leftController:(-0.20, 1.02, 0.34)  rightController:(0.03, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:504   leftController:(-0.20, 1.02, 0.34)  rightController:(0.03, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:513   leftController:(-0.20, 1.01, 0.34)  rightController:(0.03, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:523   leftController:(-0.20, 1.01, 0.34)  rightController:(0.03, 0.96, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:535   leftController:(-0.20, 1.01, 0.34)  rightController:(0.03, 0.96, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:545   leftController:(-0.20, 1.01, 0.34)  rightController:(0.03, 0.96, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:557   leftController:(-0.21, 1.00, 0.34)  rightController:(0.03, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:568   leftController:(-0.21, 1.00, 0.33)  rightController:(0.03, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:582   leftController:(-0.21, 1.00, 0.33)  rightController:(0.03, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:591   leftController:(-0.21, 1.00, 0.33)  rightController:(0.03, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:603   leftController:(-0.21, 1.00, 0.33)  rightController:(0.04, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:615   leftController:(-0.21, 0.99, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:623   leftController:(-0.21, 0.99, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:635   leftController:(-0.21, 0.99, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:646   leftController:(-0.22, 0.99, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:657   leftController:(-0.22, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:668   leftController:(-0.22, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:682   leftController:(-0.22, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:696   leftController:(-0.22, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:712   leftController:(-0.22, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:724   leftController:(-0.21, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.58, 0.12)
2021.4.4 15:23:44:734   leftController:(-0.21, 0.98, 0.33)  rightController:(0.04, 0.94, 0.33)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:44:742   leftController:(-0.21, 0.98, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:44:751   leftController:(-0.21, 0.98, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:44:762   leftController:(-0.21, 0.98, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:773   leftController:(-0.21, 0.97, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:781   leftController:(-0.21, 0.97, 0.33)  rightController:(0.04, 0.94, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:792   leftController:(-0.21, 0.97, 0.33)  rightController:(0.04, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:805   leftController:(-0.21, 0.97, 0.33)  rightController:(0.04, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:814   leftController:(-0.21, 0.97, 0.33)  rightController:(0.04, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:825   leftController:(-0.21, 0.97, 0.34)  rightController:(0.04, 0.95, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:837   leftController:(-0.21, 0.98, 0.34)  rightController:(0.04, 0.96, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:847   leftController:(-0.21, 0.98, 0.34)  rightController:(0.04, 0.96, 0.34)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:859   leftController:(-0.21, 0.98, 0.34)  rightController:(0.04, 0.96, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:872   leftController:(-0.21, 0.98, 0.34)  rightController:(0.04, 0.96, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:882   leftController:(-0.21, 0.98, 0.34)  rightController:(0.04, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:896   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:904   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:914   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:925   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:937   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:951   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:959   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:970   leftController:(-0.20, 0.98, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:982   leftController:(-0.20, 0.99, 0.34)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:44:995   leftController:(-0.20, 0.99, 0.34)  rightController:(0.04, 0.99, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:04   leftController:(-0.20, 0.99, 0.34)  rightController:(0.04, 0.99, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:15   leftController:(-0.20, 0.99, 0.34)  rightController:(0.04, 0.99, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:26   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.99, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:38   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.99, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:51   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:61   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:73   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:85   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:93   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:104   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:115   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:129   leftController:(-0.19, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:139   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:149   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:160   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
