2021.4.4 16:20:52:141   leftController:(0.04, 0.95, 0.35)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:292   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:305   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:323   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:344   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:353   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:361   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:370   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:383   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:392   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:402   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:417   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:438   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:462   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:482   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.16)
2021.4.4 16:20:52:505   leftController:(0.04, 0.95, 0.34)  rightController:(-0.27, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:527   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:549   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:571   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:594   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:616   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.96, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:640   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.97, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:661   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.97, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:683   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.97, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
2021.4.4 16:20:52:710   leftController:(0.04, 0.95, 0.34)  rightController:(-0.26, 0.97, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.38, 0.15)
