2021.4.4 16:58:59:666   leftController:(0.06, 1.15, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.58, 0.40)
2021.4.4 16:58:59:824   leftController:(0.06, 1.15, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.59, 0.40)
2021.4.4 16:58:59:855   leftController:(0.06, 1.15, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.59, 0.40)
2021.4.4 16:58:59:883   leftController:(0.06, 1.15, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.59, 0.40)
2021.4.4 16:58:59:901   leftController:(0.06, 1.15, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:910   leftController:(0.06, 1.14, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:919   leftController:(0.06, 1.14, 0.64)  rightController:(-0.16, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:930   leftController:(0.07, 1.14, 0.64)  rightController:(-0.15, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:943   leftController:(0.07, 1.14, 0.64)  rightController:(-0.15, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:951   leftController:(0.07, 1.14, 0.64)  rightController:(-0.15, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:964   leftController:(0.07, 1.14, 0.64)  rightController:(-0.15, 0.96, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:58:59:987   leftController:(0.07, 1.14, 0.64)  rightController:(-0.15, 0.97, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:10   leftController:(0.07, 1.13, 0.64)  rightController:(-0.15, 0.97, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:41   leftController:(0.07, 1.13, 0.64)  rightController:(-0.15, 0.97, 0.66)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:53   leftController:(0.07, 1.13, 0.64)  rightController:(-0.15, 0.97, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:77   leftController:(0.07, 1.13, 0.64)  rightController:(-0.15, 0.98, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:98   leftController:(0.07, 1.13, 0.64)  rightController:(-0.16, 0.98, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:125   leftController:(0.07, 1.13, 0.64)  rightController:(-0.16, 0.99, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:143   leftController:(0.07, 1.13, 0.64)  rightController:(-0.16, 0.99, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:168   leftController:(0.07, 1.13, 0.64)  rightController:(-0.16, 1.00, 0.67)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:194   leftController:(0.08, 1.13, 0.65)  rightController:(-0.16, 1.01, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:211   leftController:(0.08, 1.13, 0.65)  rightController:(-0.16, 1.02, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.40)
2021.4.4 16:59:00:238   leftController:(0.08, 1.13, 0.65)  rightController:(-0.16, 1.03, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.41)
2021.4.4 16:59:00:254   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.03, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.41)
2021.4.4 16:59:00:276   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.05, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.41)
2021.4.4 16:59:00:299   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.06, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.41)
2021.4.4 16:59:00:322   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.08, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.59, 0.41)
2021.4.4 16:59:00:353   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.10, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.58, 0.41)
2021.4.4 16:59:00:366   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.11, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.58, 0.41)
2021.4.4 16:59:00:389   leftController:(0.08, 1.12, 0.65)  rightController:(-0.16, 1.13, 0.68)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.58, 0.41)
