2021.4.4 16:38:02:326   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.76, 0.18)
2021.4.4 16:38:02:344   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.76, 0.18)
2021.4.4 16:38:02:353   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.76, 0.18)
2021.4.4 16:38:02:362   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.76, 0.18)
2021.4.4 16:38:02:370   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.76, 0.18)
2021.4.4 16:38:02:380   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:391   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:403   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:416   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:429   leftController:(-0.13, 1.21, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:441   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.18)
2021.4.4 16:38:02:451   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:460   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:470   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:481   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:492   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:503   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.75, 0.19)
2021.4.4 16:38:02:519   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.74, 0.19)
