2021.4.4 15:06:21:208   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.23)
2021.4.4 15:06:21:372   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:385   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:404   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:422   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:432   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:443   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:456   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:466   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:475   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:485   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:494   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
2021.4.4 15:06:21:504   leftController:(0.08, 1.14, 0.39)  rightController:(-0.23, 1.12, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, 0.24)
