2021.4.4 16:44:03:175   leftController:(-0.19, 1.25, 0.25)  rightController:(-0.37, 1.19, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.36, 1.73, -0.01)
2021.4.4 16:44:03:197   leftController:(-0.19, 1.25, 0.25)  rightController:(-0.38, 1.19, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.73, -0.01)
2021.4.4 16:44:03:220   leftController:(-0.19, 1.25, 0.25)  rightController:(-0.38, 1.19, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.72, -0.01)
2021.4.4 16:44:03:244   leftController:(-0.19, 1.25, 0.25)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.72, 0.00)
2021.4.4 16:44:03:264   leftController:(-0.19, 1.24, 0.25)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.71, 0.00)
2021.4.4 16:44:03:286   leftController:(-0.19, 1.24, 0.25)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.71, 0.00)
2021.4.4 16:44:03:309   leftController:(-0.19, 1.24, 0.25)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.71, 0.00)
2021.4.4 16:44:03:339   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:354   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:364   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:377   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:387   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:398   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:409   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:422   leftController:(-0.19, 1.24, 0.26)  rightController:(-0.38, 1.18, 0.28)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:439   leftController:(-0.19, 1.24, 0.27)  rightController:(-0.38, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:448   leftController:(-0.19, 1.24, 0.27)  rightController:(-0.38, 1.19, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:457   leftController:(-0.19, 1.24, 0.27)  rightController:(-0.38, 1.19, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:465   leftController:(-0.19, 1.24, 0.27)  rightController:(-0.38, 1.19, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:476   leftController:(-0.19, 1.24, 0.28)  rightController:(-0.38, 1.19, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:488   leftController:(-0.19, 1.24, 0.28)  rightController:(-0.38, 1.19, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:499   leftController:(-0.19, 1.24, 0.29)  rightController:(-0.38, 1.19, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:512   leftController:(-0.19, 1.24, 0.30)  rightController:(-0.38, 1.19, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:525   leftController:(-0.19, 1.24, 0.31)  rightController:(-0.38, 1.20, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:537   leftController:(-0.18, 1.24, 0.32)  rightController:(-0.38, 1.20, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:546   leftController:(-0.18, 1.25, 0.33)  rightController:(-0.38, 1.20, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:556   leftController:(-0.18, 1.25, 0.33)  rightController:(-0.38, 1.20, 0.35)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:566   leftController:(-0.17, 1.25, 0.34)  rightController:(-0.38, 1.21, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.01)
2021.4.4 16:44:03:579   leftController:(-0.17, 1.25, 0.36)  rightController:(-0.38, 1.21, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:590   leftController:(-0.17, 1.25, 0.37)  rightController:(-0.38, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:600   leftController:(-0.16, 1.25, 0.38)  rightController:(-0.38, 1.21, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:615   leftController:(-0.16, 1.26, 0.39)  rightController:(-0.38, 1.22, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:632   leftController:(-0.15, 1.26, 0.41)  rightController:(-0.38, 1.22, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:645   leftController:(-0.15, 1.27, 0.43)  rightController:(-0.38, 1.23, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:656   leftController:(-0.14, 1.27, 0.44)  rightController:(-0.39, 1.23, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.70, 0.02)
2021.4.4 16:44:03:665   leftController:(-0.14, 1.27, 0.45)  rightController:(-0.39, 1.23, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:674   leftController:(-0.14, 1.27, 0.46)  rightController:(-0.39, 1.24, 0.47)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:683   leftController:(-0.13, 1.28, 0.47)  rightController:(-0.39, 1.24, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:693   leftController:(-0.13, 1.28, 0.48)  rightController:(-0.39, 1.24, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:706   leftController:(-0.13, 1.28, 0.49)  rightController:(-0.39, 1.24, 0.51)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:722   leftController:(-0.12, 1.28, 0.51)  rightController:(-0.40, 1.24, 0.53)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:732   leftController:(-0.12, 1.29, 0.52)  rightController:(-0.40, 1.25, 0.53)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
2021.4.4 16:44:03:741   leftController:(-0.12, 1.29, 0.52)  rightController:(-0.40, 1.25, 0.54)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.02)
