2021.4.4 16:53:14:370   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:401   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:421   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:437   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:460   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:483   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:505   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:520   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.12, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:528   leftController:(0.05, 1.13, 0.17)  rightController:(-0.12, 1.13, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:546   leftController:(0.05, 1.13, 0.18)  rightController:(-0.11, 1.13, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:556   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:564   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:573   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:583   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:597   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:607   leftController:(0.05, 1.12, 0.18)  rightController:(-0.11, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:617   leftController:(0.05, 1.11, 0.18)  rightController:(-0.12, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:627   leftController:(0.06, 1.11, 0.18)  rightController:(-0.12, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
