2021.4.4 16:17:30:992   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:03   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:14   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:28   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:36   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:47   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:57   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:69   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:80   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:93   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:106   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:120   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:129   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:31:138   leftController:(0.03, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:147   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:158   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:171   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:183   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:192   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:203   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:217   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.93, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:225   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:236   leftController:(0.02, 0.94, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:248   leftController:(0.02, 0.93, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:260   leftController:(0.02, 0.93, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:276   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:287   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:297   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:310   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:320   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:329   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:338   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:348   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:361   leftController:(0.02, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:372   leftController:(0.01, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:381   leftController:(0.01, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:393   leftController:(0.01, 0.93, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:408   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:416   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:426   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:439   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.39, 0.17)
2021.4.4 16:17:31:450   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.17)
2021.4.4 16:17:31:463   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.17)
2021.4.4 16:17:31:473   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
