2021.4.13 11:13:51:361   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:370   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:384   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:392   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:404   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:415   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:430   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:437   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:461   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:469   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
