2021.4.13 11:19:17:70   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:81   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:92   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:104   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:115   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:134   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:144   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:149   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:160   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:170   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:182   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:193   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:204   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.21, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:242   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:249   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:259   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:264   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:272   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:282   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:293   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
