2021.4.13 11:16:21:268   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.13 11:16:21:280   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:291   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:302   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:337   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:343   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:348   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:353   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:358   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:369   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
