2021.4.17 16:31:06:362   leftController:(0.08, 1.09, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:384   leftController:(0.08, 1.09, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.04, -0.05, -0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:408   leftController:(0.08, 1.09, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.04, -0.05, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:429   leftController:(0.08, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.05, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:451   leftController:(0.08, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.04, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:474   leftController:(0.08, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.03, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:496   leftController:(0.08, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:518   leftController:(0.08, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:543   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:563   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:586   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:608   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:630   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:653   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:676   leftController:(0.09, 1.08, 0.02)  rightController:(-0.08, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:697   leftController:(0.09, 1.08, 0.02)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:720   leftController:(0.09, 1.08, 0.02)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:742   leftController:(0.09, 1.08, 0.02)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.06, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
