2021.4.17 16:03:36:328   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.03, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:350   leftController:(0.37, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.03, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:376   leftController:(0.37, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:397   leftController:(0.37, 1.16, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, 0.00, -0.02)  rightControllerVel:(0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:418   leftController:(0.37, 1.16, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.01, -0.02)  rightControllerVel:(0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:440   leftController:(0.37, 1.16, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.01, -0.02)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:462   leftController:(0.37, 1.16, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.02, -0.02)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:485   leftController:(0.37, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:506   leftController:(0.37, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.03, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:529   leftController:(0.37, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.03)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
