2021.4.9 16:39:22:840   leftController:(0.28, 1.10, 0.22)  rightController:(-0.06, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.11, 0.09, 0.01)  rightControllerVel:(0.13, 0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:857   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.08, 0.06, 0.02)  rightControllerVel:(0.12, 0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:879   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.06, 0.05, 0.02)  rightControllerVel:(0.11, 0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:902   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.06, 0.11, -0.02)  rightControllerVel:(0.10, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:923   leftController:(0.29, 1.11, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.16, 0.28, -0.12)  rightControllerVel:(0.09, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:949   leftController:(0.29, 1.12, 0.21)  rightController:(-0.04, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.26, 0.45, -0.19)  rightControllerVel:(0.08, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:968   leftController:(0.30, 1.13, 0.21)  rightController:(-0.04, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.34, 0.64, -0.24)  rightControllerVel:(0.08, 0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:995   leftController:(0.31, 1.15, 0.20)  rightController:(-0.04, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.43, 0.96, -0.36)  rightControllerVel:(0.08, 0.09, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:12   leftController:(0.32, 1.17, 0.19)  rightController:(-0.04, 1.10, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.40, 1.20, -0.43)  rightControllerVel:(0.08, 0.11, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:36   leftController:(0.33, 1.21, 0.18)  rightController:(-0.04, 1.10, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.30, 1.42, -0.43)  rightControllerVel:(0.08, 0.13, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:57   leftController:(0.33, 1.24, 0.17)  rightController:(-0.04, 1.10, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.22, 1.54, -0.43)  rightControllerVel:(0.07, 0.12, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:81   leftController:(0.34, 1.28, 0.16)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.15, 1.60, -0.49)  rightControllerVel:(0.06, 0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:102   leftController:(0.34, 1.31, 0.15)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.08, 1.59, -0.52)  rightControllerVel:(0.05, 0.08, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:125   leftController:(0.34, 1.35, 0.14)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.01, 1.52, -0.56)  rightControllerVel:(0.06, 0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:151   leftController:(0.34, 1.38, 0.12)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.10, 1.43, -0.61)  rightControllerVel:(0.06, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:168   leftController:(0.33, 1.40, 0.11)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.12, 1.32, -0.65)  rightControllerVel:(0.06, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:191   leftController:(0.33, 1.43, 0.09)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.12, 1.15, -0.69)  rightControllerVel:(0.06, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:213   leftController:(0.33, 1.45, 0.08)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.13, 1.02, -0.67)  rightControllerVel:(0.06, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:235   leftController:(0.32, 1.47, 0.06)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(-0.17, 0.93, -0.63)  rightControllerVel:(0.05, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:260   leftController:(0.32, 1.49, 0.05)  rightController:(-0.03, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.05)  leftControllerVel:(-0.16, 0.81, -0.59)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:271   leftController:(0.32, 1.50, 0.04)  rightController:(-0.02, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.05)  leftControllerVel:(-0.14, 0.77, -0.58)  rightControllerVel:(0.02, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:280   leftController:(0.32, 1.51, 0.04)  rightController:(-0.02, 1.11, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.05)  leftControllerVel:(-0.11, 0.70, -0.56)  rightControllerVel:(0.02, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:296   leftController:(0.32, 1.52, 0.03)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.05)  leftControllerVel:(-0.07, 0.65, -0.52)  rightControllerVel:(0.00, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:305   leftController:(0.32, 1.52, 0.03)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.07, 0.63, -0.50)  rightControllerVel:(0.00, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:314   leftController:(0.32, 1.53, 0.02)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.08, 0.62, -0.47)  rightControllerVel:(0.00, 0.02, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:328   leftController:(0.31, 1.54, 0.01)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.09, 0.60, -0.45)  rightControllerVel:(-0.01, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:338   leftController:(0.31, 1.54, 0.01)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.09, 0.58, -0.44)  rightControllerVel:(-0.01, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:348   leftController:(0.31, 1.55, 0.01)  rightController:(-0.02, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.10, 0.53, -0.43)  rightControllerVel:(-0.01, 0.00, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:358   leftController:(0.31, 1.56, 0.00)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.62, 0.05)  leftControllerVel:(-0.11, 0.48, -0.42)  rightControllerVel:(-0.01, -0.01, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:370   leftController:(0.31, 1.56, 0.00)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.05)  leftControllerVel:(-0.12, 0.44, -0.42)  rightControllerVel:(-0.02, -0.02, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:381   leftController:(0.31, 1.56, -0.01)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.05)  leftControllerVel:(-0.15, 0.41, -0.42)  rightControllerVel:(-0.02, -0.03, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:392   leftController:(0.30, 1.57, -0.01)  rightController:(-0.03, 1.11, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.05)  leftControllerVel:(-0.20, 0.39, -0.42)  rightControllerVel:(-0.03, -0.04, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:403   leftController:(0.30, 1.57, -0.02)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.05)  leftControllerVel:(-0.24, 0.36, -0.42)  rightControllerVel:(-0.03, -0.06, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:415   leftController:(0.30, 1.58, -0.03)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.06)  leftControllerVel:(-0.26, 0.34, -0.43)  rightControllerVel:(-0.03, -0.07, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:426   leftController:(0.29, 1.58, -0.03)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.61, 0.06)  leftControllerVel:(-0.29, 0.30, -0.42)  rightControllerVel:(-0.03, -0.08, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:438   leftController:(0.29, 1.58, -0.04)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.60, 0.06)  leftControllerVel:(-0.29, 0.26, -0.41)  rightControllerVel:(-0.03, -0.09, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:454   leftController:(0.29, 1.58, -0.04)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.60, 0.06)  leftControllerVel:(-0.28, 0.20, -0.38)  rightControllerVel:(-0.04, -0.10, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:464   leftController:(0.28, 1.59, -0.05)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.60, 0.06)  leftControllerVel:(-0.27, 0.17, -0.34)  rightControllerVel:(-0.04, -0.10, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:472   leftController:(0.28, 1.59, -0.05)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.27, 0.14, -0.33)  rightControllerVel:(-0.04, -0.11, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:482   leftController:(0.28, 1.59, -0.05)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.26, 0.13, -0.29)  rightControllerVel:(-0.05, -0.11, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:492   leftController:(0.27, 1.59, -0.05)  rightController:(-0.03, 1.10, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.25, 0.12, -0.27)  rightControllerVel:(-0.05, -0.11, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:504   leftController:(0.27, 1.59, -0.06)  rightController:(-0.03, 1.09, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.24, 0.12, -0.24)  rightControllerVel:(-0.06, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:518   leftController:(0.27, 1.59, -0.06)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.19, 0.09, -0.21)  rightControllerVel:(-0.07, -0.10, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:530   leftController:(0.27, 1.59, -0.06)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.15, 0.07, -0.18)  rightControllerVel:(-0.07, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:539   leftController:(0.27, 1.59, -0.06)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.14, 0.06, -0.18)  rightControllerVel:(-0.07, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:548   leftController:(0.27, 1.59, -0.06)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.10, 0.05, -0.15)  rightControllerVel:(-0.07, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:559   leftController:(0.26, 1.59, -0.07)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.08, 0.05, -0.12)  rightControllerVel:(-0.07, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:570   leftController:(0.26, 1.59, -0.07)  rightController:(-0.03, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.08, 0.05, -0.10)  rightControllerVel:(-0.07, -0.09, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:23:582   leftController:(0.26, 1.59, -0.07)  rightController:(-0.04, 1.09, 0.26)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.60, 0.06)  leftControllerVel:(-0.08, 0.06, -0.06)  rightControllerVel:(-0.07, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
