2021.4.9 17:02:35:604   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:632   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:647   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:672   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:693   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.01, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:715   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:737   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:760   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.01, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:786   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.01, -0.01, -0.02)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:807   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.01, -0.02, -0.02)  rightControllerVel:(0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
