2021.4.9 16:36:29:713   leftController:(0.06, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:736   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:759   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:781   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:802   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:825   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:856   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:869   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:892   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:914   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
