2021.4.15 19:47:55:988   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:11   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:33   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:56   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:81   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:100   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:122   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:145   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:168   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:189   leftController:(0.31, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:212   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:235   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:256   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:279   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
