2021.4.15 19:50:53:756   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(-0.01, 0.02, -0.03)  rightControllerVel:(0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:766   leftController:(0.33, 1.37, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(-0.01, 0.02, -0.03)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:778   leftController:(0.32, 1.37, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(-0.01, 0.02, -0.03)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:789   leftController:(0.32, 1.37, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(-0.01, 0.02, -0.03)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:800   leftController:(0.32, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(0.00, 0.01, -0.03)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:811   leftController:(0.32, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(0.00, 0.01, -0.03)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:822   leftController:(0.32, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.09)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:833   leftController:(0.32, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:844   leftController:(0.33, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:856   leftController:(0.33, 1.37, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:867   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:878   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
