2021.4.15 19:48:24:649   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, -0.01)  rightControllerVel:(-0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:661   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, -0.01)  rightControllerVel:(-0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:675   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.05, -0.01)  rightControllerVel:(-0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:685   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:694   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:705   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:717   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:727   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:739   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:750   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
