2021.4.11 19:05:39:928   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:947   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:967   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:989   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:12   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:34   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:57   leftController:(0.25, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:85   leftController:(0.25, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:101   leftController:(0.25, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:124   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:146   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:168   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.02, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:190   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.02, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:213   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.03, -0.02, 0.02)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:239   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.03, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:258   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.03, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:279   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.02, -0.02, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:302   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:324   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
