2021.4.11 16:07:05:244   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:266   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:288   leftController:(0.05, 1.32, -0.42)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:310   leftController:(0.05, 1.32, -0.42)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:333   leftController:(0.06, 1.32, -0.42)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:355   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.03, 0.00, 0.01)  rightControllerVel:(0.02, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:378   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.13, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.03, 0.00, 0.01)  rightControllerVel:(0.02, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:400   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.04, 0.00, 0.02)  rightControllerVel:(0.02, -0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:423   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.00, 0.02)  rightControllerVel:(0.03, -0.05, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:445   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.01, 0.03)  rightControllerVel:(0.03, -0.07, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:468   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.02, 0.03)  rightControllerVel:(0.03, -0.08, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:489   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.02, 0.03)  rightControllerVel:(0.03, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:513   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.12, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.03, 0.03)  rightControllerVel:(0.03, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:534   leftController:(0.06, 1.32, -0.41)  rightController:(0.30, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.45)  leftControllerVel:(0.05, 0.03, 0.04)  rightControllerVel:(0.04, -0.10, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
