2021.4.11 19:30:04:35   leftController:(0.45, 1.24, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:56   leftController:(0.45, 1.24, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(0.01, -0.04, 0.00)  rightControllerVel:(0.01, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:79   leftController:(0.45, 1.24, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(0.02, -0.08, 0.00)  rightControllerVel:(0.01, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:102   leftController:(0.45, 1.24, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(0.01, -0.13, 0.01)  rightControllerVel:(0.01, 0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:124   leftController:(0.45, 1.23, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(0.00, -0.17, 0.02)  rightControllerVel:(0.02, 0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:147   leftController:(0.45, 1.23, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(0.00, -0.24, 0.02)  rightControllerVel:(0.02, 0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:173   leftController:(0.45, 1.22, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(0.00, -0.28, 0.01)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:192   leftController:(0.45, 1.22, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(-0.03, -0.32, 0.02)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:214   leftController:(0.45, 1.21, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(-0.06, -0.34, 0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:235   leftController:(0.45, 1.20, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(-0.08, -0.35, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
