2021.4.11 20:04:59:938   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.04, 0.00, 0.00)  rightControllerVel:(0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:04:59:957   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.04, 0.00, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:04:59:978   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.04, 0.00, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:00   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.04, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:23   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.04, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:45   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:67   leftController:(0.28, 1.21, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.03, -0.03, -0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:96   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.02, -0.05, -0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:112   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.06, -0.01)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:136   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.33, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.07, -0.01)  rightControllerVel:(0.01, -0.06, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:158   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.32, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.02, -0.08, -0.01)  rightControllerVel:(0.00, -0.09, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:179   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.32, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.08, -0.02)  rightControllerVel:(0.00, -0.14, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:202   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.32, 0.00)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.08, -0.02)  rightControllerVel:(-0.01, -0.20, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:224   leftController:(0.28, 1.20, 0.03)  rightController:(-0.11, 1.31, 0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.08, -0.02)  rightControllerVel:(-0.03, -0.28, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:256   leftController:(0.28, 1.19, 0.03)  rightController:(-0.11, 1.30, 0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.06, -0.02)  rightControllerVel:(-0.03, -0.36, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:270   leftController:(0.28, 1.19, 0.03)  rightController:(-0.11, 1.29, 0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.06, -0.02)  rightControllerVel:(-0.04, -0.36, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:291   leftController:(0.28, 1.19, 0.03)  rightController:(-0.11, 1.29, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.24)  leftControllerVel:(0.01, -0.04, -0.02)  rightControllerVel:(-0.05, -0.35, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:314   leftController:(0.28, 1.19, 0.03)  rightController:(-0.11, 1.28, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.24)  leftControllerVel:(0.01, -0.03, -0.02)  rightControllerVel:(-0.05, -0.32, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:335   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.27, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.24)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(-0.03, -0.26, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:357   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.27, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.24)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(-0.02, -0.21, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:369   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.27, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(-0.01, -0.18, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:380   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.27, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.00, -0.16, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:396   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, -0.14, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:404   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, -0.12, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:414   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.01, -0.11, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
