2021.4.11 20:02:22:942   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:964   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:988   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:09   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:35   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:53   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:82   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:98   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, 0.01, -0.02)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:121   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.04, 0.01, -0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:143   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.07, 0.00, -0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:165   leftController:(0.36, 1.16, 0.20)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.09, -0.01, -0.02)  rightControllerVel:(-0.03, 0.00, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:187   leftController:(0.36, 1.16, 0.20)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.08, -0.02, -0.02)  rightControllerVel:(-0.09, -0.01, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:210   leftController:(0.36, 1.16, 0.20)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.04, -0.02, -0.02)  rightControllerVel:(-0.16, -0.04, 0.23)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
