2021.4.11 19:27:34:259   leftController:(0.35, 1.31, 0.25)  rightController:(0.14, 1.32, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.07, -0.03, -0.06)  rightControllerVel:(0.05, -0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:282   leftController:(0.35, 1.31, 0.25)  rightController:(0.14, 1.32, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.09, -0.04, -0.06)  rightControllerVel:(0.05, -0.01, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.11 19:27:34:305   leftController:(0.35, 1.30, 0.25)  rightController:(0.14, 1.31, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.11, -0.07, -0.06)  rightControllerVel:(0.06, -0.02, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:326   leftController:(0.36, 1.30, 0.24)  rightController:(0.14, 1.31, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.12, -0.10, -0.06)  rightControllerVel:(0.06, -0.02, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:349   leftController:(0.36, 1.30, 0.24)  rightController:(0.14, 1.31, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.15, -0.13, -0.06)  rightControllerVel:(0.07, -0.03, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:371   leftController:(0.36, 1.30, 0.24)  rightController:(0.14, 1.31, 0.18)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.18, -0.17, -0.05)  rightControllerVel:(0.07, -0.05, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:400   leftController:(0.37, 1.29, 0.24)  rightController:(0.14, 1.31, 0.19)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.21, -0.22, -0.04)  rightControllerVel:(0.08, -0.08, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:416   leftController:(0.37, 1.29, 0.24)  rightController:(0.15, 1.31, 0.19)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.21, -0.24, -0.04)  rightControllerVel:(0.08, -0.10, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:438   leftController:(0.38, 1.28, 0.24)  rightController:(0.15, 1.31, 0.19)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.20, -0.28, -0.03)  rightControllerVel:(0.08, -0.12, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:460   leftController:(0.38, 1.27, 0.24)  rightController:(0.15, 1.30, 0.19)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.21, -0.31, -0.03)  rightControllerVel:(0.07, -0.16, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:484   leftController:(0.39, 1.27, 0.24)  rightController:(0.15, 1.30, 0.20)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.24, -0.31, -0.03)  rightControllerVel:(0.07, -0.19, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:506   leftController:(0.39, 1.26, 0.24)  rightController:(0.15, 1.29, 0.20)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.24, -0.30, -0.04)  rightControllerVel:(0.06, -0.21, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:528   leftController:(0.40, 1.25, 0.24)  rightController:(0.15, 1.29, 0.20)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.20, -0.26, -0.06)  rightControllerVel:(0.06, -0.22, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:554   leftController:(0.40, 1.25, 0.24)  rightController:(0.16, 1.28, 0.21)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.12, -0.21, -0.09)  rightControllerVel:(0.06, -0.22, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:572   leftController:(0.40, 1.24, 0.23)  rightController:(0.16, 1.28, 0.21)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.06, -0.17, -0.11)  rightControllerVel:(0.07, -0.22, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:596   leftController:(0.40, 1.24, 0.23)  rightController:(0.16, 1.27, 0.21)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.01, -0.16, -0.11)  rightControllerVel:(0.08, -0.21, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:617   leftController:(0.40, 1.24, 0.23)  rightController:(0.16, 1.27, 0.21)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(-0.01, -0.17, -0.11)  rightControllerVel:(0.09, -0.19, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:639   leftController:(0.40, 1.23, 0.23)  rightController:(0.16, 1.27, 0.21)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.02, -0.21, -0.09)  rightControllerVel:(0.09, -0.17, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:662   leftController:(0.40, 1.23, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.04, -0.25, -0.07)  rightControllerVel:(0.07, -0.13, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:673   leftController:(0.40, 1.22, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.06, -0.27, -0.08)  rightControllerVel:(0.05, -0.11, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:684   leftController:(0.40, 1.22, 0.22)  rightController:(0.17, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.11, -0.27, -0.09)  rightControllerVel:(0.02, -0.09, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:703   leftController:(0.41, 1.22, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.22, -0.19, -0.09)  rightControllerVel:(-0.05, -0.02, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:713   leftController:(0.41, 1.22, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.26, -0.15, -0.08)  rightControllerVel:(-0.11, 0.02, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
