2021.4.11 20:07:29:984   leftController:(0.33, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.02, 0.03, -0.05)  rightControllerVel:(0.04, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:999   leftController:(0.33, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.03, 0.04, -0.05)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:21   leftController:(0.33, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.03, 0.06, -0.05)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:44   leftController:(0.33, 1.19, -0.02)  rightController:(-0.01, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.04, 0.07, -0.06)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:66   leftController:(0.33, 1.19, -0.02)  rightController:(-0.01, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.05, 0.07, -0.06)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:88   leftController:(0.33, 1.20, -0.03)  rightController:(-0.01, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.06, 0.06, -0.07)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:113   leftController:(0.33, 1.20, -0.03)  rightController:(-0.01, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.09, 0.10, -0.10)  rightControllerVel:(0.00, 0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:139   leftController:(0.34, 1.20, -0.03)  rightController:(-0.02, 1.15, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.18, 0.25, -0.20)  rightControllerVel:(-0.11, 0.28, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:156   leftController:(0.34, 1.21, -0.04)  rightController:(-0.02, 1.16, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.23, 0.36, -0.29)  rightControllerVel:(-0.14, 0.42, -0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:177   leftController:(0.35, 1.22, -0.05)  rightController:(-0.02, 1.17, -0.04)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.26, 0.47, -0.42)  rightControllerVel:(-0.18, 0.62, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, -0.01)
2021.4.11 20:07:30:200   leftController:(0.35, 1.23, -0.06)  rightController:(-0.03, 1.19, -0.04)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.15, 0.51, -0.53)  rightControllerVel:(-0.16, 0.77, -0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, -0.01)
