2021.4.14 11:12:34:731   leftController:(0.53, 1.24, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.09, -0.10, -0.07)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:754   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.08, -0.08, -0.07)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:776   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, -0.06, -0.06)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:800   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.04, -0.05)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:822   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.02, -0.05)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:843   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.01, -0.04)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:866   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, 0.02, -0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:889   leftController:(0.52, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, 0.04, -0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:911   leftController:(0.51, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, 0.05, 0.00)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:933   leftController:(0.51, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(-0.04, 0.07, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:955   leftController:(0.51, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(-0.01, 0.07, 0.03)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:985   leftController:(0.51, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(0.05, 0.06, 0.04)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:00   leftController:(0.51, 1.24, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(0.07, 0.05, 0.06)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:22   leftController:(0.52, 1.25, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(0.11, 0.03, 0.06)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:44   leftController:(0.52, 1.25, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.42, 1.84, 0.07)  leftControllerVel:(0.14, 0.01, 0.07)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:67   leftController:(0.52, 1.25, 0.26)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(0.15, 0.00, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:91   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.13, 0.01, 0.05)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:111   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.09, 0.02, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:134   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.03, 0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:157   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.03, 0.03, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:167   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.03, 0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:178   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:189   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.03, 0.00)  rightControllerVel:(-0.01, 0.01, 0.03)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:200   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.02, 0.00)  rightControllerVel:(-0.01, 0.01, 0.03)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:211   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.02, 0.00)  rightControllerVel:(-0.01, 0.02, 0.03)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:222   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.03, 0.00)  rightControllerVel:(-0.02, 0.03, 0.04)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:234   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.03, 0.00)  rightControllerVel:(-0.02, 0.04, 0.04)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:246   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.02, 0.00)  rightControllerVel:(-0.02, 0.05, 0.05)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:256   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.04, 0.02, 0.00)  rightControllerVel:(-0.02, 0.05, 0.05)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:268   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.03, 0.01, 0.00)  rightControllerVel:(-0.02, 0.05, 0.05)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
