2021.4.10 11:22:28:602   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.03, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:620   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:641   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(-0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:663   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:685   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.03, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:708   leftController:(0.27, 0.72, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.03, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:731   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:758   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:776   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:797   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:820   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.52)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.02, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:842   leftController:(0.27, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.52)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.02, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:865   leftController:(0.26, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.52)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.02, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:887   leftController:(0.26, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.52)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.02, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:916   leftController:(0.26, 0.73, -0.53)  rightController:(0.58, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.02, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:932   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.03, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:955   leftController:(0.26, 0.72, -0.53)  rightController:(0.57, 1.22, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.03, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:976   leftController:(0.26, 0.72, -0.53)  rightController:(0.57, 1.21, -0.35)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.03, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:29:00   leftController:(0.26, 0.72, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.03, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:21   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.03, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:29:32   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.03, -0.08, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:29:46   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.03, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:29:59   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.01, 0.00, -0.02)  rightControllerVel:(-0.02, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
