2021.4.10 10:06:23:599   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:611   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:629   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:642   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:650   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:658   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:667   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:678   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:689   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:699   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
